std_temp,std_pH,conduct,o2,o2sat,co2,hardness,no2,no3,nh4,po4,cl,sio2,kmno4,k2cr2o7,bod,25400,29600,30400,33400,17300,19400,34500,38100,49700,50390,55800,57500,59300,37880
0.08365019011406831,0.3913043478260878,0.14895397489539805,0.6274509803921565,0.4175824175824162,0.0,0.21359223300970823,0.049999999999999996,0.2830882352941179,0.012849023968371644,0.01538461538461534,0.21371610845295042,0.23936170212766025,0.05307855626326957,0.05229387231312169,0.02631578947368415,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6882129277566542,0.4347826086956497,0.12050209205020895,0.37745098039215647,0.3634826711749775,0.0,0.15048543689320437,0.8642857142857148,0.2316176470588232,0.007907091672844082,0.017094017094017117,0.11483253588516742,0.3882978723404253,0.04741684359518754,0.04523580365736296,0.056390977443608936,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.33079847908745214,0.30434782608696354,0.09121338912133929,0.5294117647058825,0.4158918005071839,0.0786026200873362,0.16019417475728115,0.07857142857142853,0.25735294117646995,0.010378057820607864,0.029059829059829068,0.15470494417862773,0.38297872340425576,0.04387827317763622,0.05133140840551824,0.04636591478696738,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.5133079847908737,0.34782608695652595,0.1364016736401673,0.40686274509803927,0.3567202028740475,0.0917030567685589,0.2330097087378642,0.028571428571428536,0.24632352941176439,0.007907091672844082,0.03247863247863246,0.21531100478468934,0.3244680851063833,0.06157112526539253,0.058710298363811475,0.08771929824561392,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.05323193916349804,0.30434782608696354,0.1330543933054397,0.7156862745098037,0.46618765849534893,0.01746724890829695,0.16990291262135915,0.03571428571428573,0.29411764705882354,0.00864838151717323,0.010256410256410255,0.14992025518341245,0.45744680851063824,0.03680113234253359,0.031761308950914384,0.02756892230576436,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.44866920152091166,0.30434782608696354,0.05271966527196647,0.4460784313725488,0.3770076077768367,0.04803493449781658,0.08737864077669939,0.07857142857142853,0.1691176470588229,0.017296763034346463,0.025641025641025595,0.09728867623604452,0.2180851063829791,0.046001415428167,0.027590632017966035,0.030075187969924783,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.10266159695817478,0.5217391304347884,0.1598326359832641,0.6274509803921565,0.4230769230769211,0.04803493449781658,0.2184466019417478,0.03571428571428573,0.27573529411764675,0.008401284902396828,0.01538461538461534,0.1993620414673045,0.3936170212765963,0.041755130927105456,0.03496952197625928,0.03132832080200499,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.7376425855513301,0.26086956521738724,0.19163179916318082,0.3333333333333335,0.32882502113271206,0.0,0.2233009708737862,0.1071428571428572,0.2426470588235288,0.008401284902396828,0.06837606837606831,0.21212121212121146,0.3776595744680847,0.05661712668082093,0.04587744626243191,0.060150375939849565,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
0.3536121673003793,0.3913043478260878,0.11380753138075286,0.5245098039215691,0.41800507185122426,0.030567685589519628,0.2233009708737862,0.0571428571428572,0.3897058823529405,0.012849023968371644,0.05811965811965805,0.19776714513556556,0.3191489361702123,0.04387827317763622,0.047481552775104324,0.03759398496240591,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.6349809885931568,0.34782608695652595,0.14728033472803334,0.48529411764705954,0.45477599323753015,0.0917030567685589,0.15048543689320437,0.049999999999999996,0.27941176470588236,0.004694835680751158,0.01538461538461534,0.13875598086124397,0.4787234042553194,0.046001415428167,0.042669233237087024,0.020050125313283238,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
